,SalePrice,MSZoning,LotArea,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFullBath,BsmtHalfBath,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,208500,RL,8450,AllPub,CollgCr,1Fam,2Story,7,2003,2003,CompShg,VinylSd,Gd,PConc,Gd,GLQ,706,1,0,GasA,Ex,Y,SBrkr,856,854,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,61,0,0,0,0,0,2,2008,WD,Normal
1,181500,RL,9600,AllPub,Veenker,1Fam,1Story,6,1976,1976,CompShg,MetalSd,TA,CBlock,Gd,ALQ,978,0,1,GasA,Ex,Y,SBrkr,1262,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,298,0,0,0,0,0,0,5,2007,WD,Normal
2,223500,RL,11250,AllPub,CollgCr,1Fam,2Story,7,2001,2002,CompShg,VinylSd,Gd,PConc,Gd,GLQ,486,1,0,GasA,Ex,Y,SBrkr,920,866,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,0,42,0,0,0,0,0,9,2008,WD,Normal
3,140000,RL,9550,AllPub,Crawfor,1Fam,2Story,7,1915,1970,CompShg,Wd Sdng,TA,BrkTil,TA,ALQ,216,1,0,GasA,Gd,Y,SBrkr,961,756,0,Gd,Typ,1,Detchd,Unf,3,TA,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml
4,250000,RL,14260,AllPub,NoRidge,1Fam,2Story,8,2000,2000,CompShg,VinylSd,Gd,PConc,Gd,GLQ,655,1,0,GasA,Ex,Y,SBrkr,1145,1053,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,192,84,0,0,0,0,0,12,2008,WD,Normal
5,143000,RL,14115,AllPub,Mitchel,1Fam,1.5Fin,5,1993,1995,CompShg,VinylSd,TA,Wood,Gd,GLQ,732,1,0,GasA,Ex,Y,SBrkr,796,566,0,TA,Typ,0,Attchd,Unf,2,TA,Y,40,30,0,320,0,0,700,10,2009,WD,Normal
6,307000,RL,10084,AllPub,Somerst,1Fam,1Story,8,2004,2005,CompShg,VinylSd,Gd,PConc,Ex,GLQ,1369,1,0,GasA,Ex,Y,SBrkr,1694,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,255,57,0,0,0,0,0,8,2007,WD,Normal
8,129900,RM,6120,AllPub,OldTown,1Fam,1.5Fin,7,1931,1950,CompShg,BrkFace,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,FuseF,1022,752,0,TA,Min1,2,Detchd,Unf,2,Fa,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml
9,118000,RL,7420,AllPub,BrkSide,2fmCon,1.5Unf,5,1939,1950,CompShg,MetalSd,TA,BrkTil,TA,GLQ,851,1,0,GasA,Ex,Y,SBrkr,1077,0,0,TA,Typ,2,Attchd,RFn,1,Gd,Y,0,4,0,0,0,0,0,1,2008,WD,Normal
10,129500,RL,11200,AllPub,Sawyer,1Fam,1Story,5,1965,1965,CompShg,HdBoard,TA,CBlock,TA,Rec,906,1,0,GasA,Ex,Y,SBrkr,1040,0,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal
