Neighborhood,SalePrice,LotArea,BedroomAbvGr,FullBath,OverallQual,YearBuilt
CollgCr,208500,8450,3,2,7,2003
Veenker,181500,9600,3,2,6,1976
CollgCr,223500,11250,3,2,7,2001
Crawfor,140000,9550,3,1,7,1915
NoRidge,250000,14260,4,2,8,2000
Mitchel,143000,14115,1,1,5,1993
Somerst,307000,10084,3,2,8,2004
OldTown,129900,6120,2,2,7,1931
BrkSide,118000,7420,2,1,5,1939
Sawyer,129500,11200,3,1,5,1965
NridgHt,345000,11924,4,3,9,2005
CollgCr,279500,10652,3,2,7,2006
BrkSide,132000,6120,2,1,7,1929
SawyerW,159000,13695,3,1,5,2004
NAmes,139000,7560,3,1,5,1958
NridgHt,325300,14215,4,3,8,2005
IDOTRR,139400,7449,3,1,7,1930
CollgCr,230000,9742,3,2,8,2002
MeadowV,129900,4224,3,1,5,1976
NridgHt,256300,14230,3,2,8,2007
NAmes,134800,7200,3,1,5,1951
NridgHt,306000,11478,3,2,8,2007
NAmes,207500,16321,2,1,5,1957
BrkSide,68500,6324,1,1,4,1927
IDOTRR,40000,8500,3,1,4,1920
CollgCr,179900,11049,3,2,8,2007
NAmes,165500,10552,4,1,5,1959
NridgHt,277500,7313,2,2,9,2005
NridgHt,309000,13418,4,3,8,2004
CollgCr,145000,10859,3,1,5,1994
NAmes,153000,8532,3,1,5,1954
NAmes,109000,7922,3,1,5,1953
NAmes,160000,8658,3,2,6,1965
Timber,170000,16905,2,1,5,1959
NAmes,141000,7945,3,1,5,1959
NridgHt,319900,7658,2,2,9,2005
Mitchel,239686,12822,1,1,7,2003
Somerst,249700,11096,3,2,8,2006
Sawyer,127000,7742,3,1,5,1966
BrkSide,114500,6240,3,1,6,1934
IDOTRR,110000,8472,2,1,5,1963
Veenker,385000,50271,0,0,9,1981
NAmes,130000,7134,3,1,5,1955
NAmes,180500,10175,3,2,6,1964
Somerst,172500,2645,3,2,8,1999
CollgCr,196500,11645,3,2,7,2004
StoneBr,438780,13682,3,3,10,2006
CollgCr,124900,7200,2,1,5,1972
SawyerW,158000,13072,3,1,6,2004
IDOTRR,101000,7200,3,1,5,1920
NridgHt,202500,6442,2,2,8,2006
OldTown,140000,10300,3,2,7,1921
NridgHt,317000,9591,4,2,8,2004
CollgCr,226000,10665,3,2,7,2003
OldTown,80000,4608,2,1,4,1945
ClearCr,225000,15593,3,2,7,1953
NAmes,244000,13651,3,2,7,1973
Mitchel,129500,7599,2,1,4,1982
Gilbert,185000,10141,3,2,7,1998
NAmes,144900,10200,3,1,5,1954
OldTown,107400,5790,3,2,3,1915
MeadowV,91000,1596,2,1,4,1973
BrkSide,127000,8635,2,1,5,1948
