SalePrice,LotArea,BedroomAbvGr,FullBath,HalfBath,Neighborhood,HouseStyle,OverallQual,YearBuilt
208500,8450,3,2,1,CollgCr,2Story,7,2003
181500,9600,3,2,0,Veenker,1Story,6,1976
223500,11250,3,2,1,CollgCr,2Story,7,2001
140000,9550,3,1,0,Crawfor,2Story,7,1915
250000,14260,4,2,1,NoRidge,2Story,8,2000
143000,14115,1,1,1,Mitchel,1.5Fin,5,1993
307000,10084,3,2,0,Somerst,1Story,8,2004
129900,6120,2,2,0,OldTown,1.5Fin,7,1931
118000,7420,2,1,0,BrkSide,1.5Unf,5,1939
129500,11200,3,1,0,Sawyer,1Story,5,1965
345000,11924,4,3,0,NridgHt,2Story,9,2005
279500,10652,3,2,0,CollgCr,1Story,7,2006
132000,6120,2,1,0,BrkSide,1.5Unf,7,1929
159000,13695,3,1,1,SawyerW,1Story,5,2004
139000,7560,3,1,0,NAmes,1Story,5,1958
325300,14215,4,3,1,NridgHt,2Story,8,2005
139400,7449,3,1,0,IDOTRR,1.5Unf,7,1930
230000,9742,3,2,0,CollgCr,1Story,8,2002
129900,4224,3,1,0,MeadowV,1Story,5,1976
256300,14230,3,2,0,NridgHt,1Story,8,2007
134800,7200,3,1,0,NAmes,1Story,5,1951
306000,11478,3,2,0,NridgHt,1Story,8,2007
207500,16321,2,1,0,NAmes,1Story,5,1957
68500,6324,1,1,0,BrkSide,1Story,4,1927
40000,8500,3,1,0,IDOTRR,2Story,4,1920
179900,11049,3,2,0,CollgCr,1Story,8,2007
165500,10552,4,1,1,NAmes,1Story,5,1959
277500,7313,2,2,0,NridgHt,1Story,9,2005
309000,13418,4,3,1,NridgHt,2Story,8,2004
145000,10859,3,1,1,CollgCr,1Story,5,1994
153000,8532,3,1,0,NAmes,1Story,5,1954
109000,7922,3,1,0,NAmes,1Story,5,1953
160000,8658,3,2,0,NAmes,1Story,6,1965
170000,16905,2,1,1,Timber,1Story,5,1959
141000,7945,3,1,0,NAmes,1Story,5,1959
319900,7658,2,2,0,NridgHt,1Story,9,2005
239686,12822,1,1,1,Mitchel,1.5Fin,7,2003
249700,11096,3,2,0,Somerst,1Story,8,2006
127000,7742,3,1,0,Sawyer,1Story,5,1966
114500,6240,3,1,0,BrkSide,1.5Fin,6,1934
110000,8472,2,1,0,IDOTRR,1Story,5,1963
385000,50271,0,0,1,Veenker,1Story,9,1981
130000,7134,3,1,0,NAmes,SLvl,5,1955
180500,10175,3,2,0,NAmes,1Story,6,1964
172500,2645,3,2,1,Somerst,2Story,8,1999
196500,11645,3,2,1,CollgCr,2Story,7,2004
438780,13682,3,3,1,StoneBr,2Story,10,2006
124900,7200,2,1,0,CollgCr,1Story,5,1972
158000,13072,3,1,1,SawyerW,1Story,6,2004
101000,7200,3,1,0,IDOTRR,2.5Unf,5,1920
202500,6442,2,2,0,NridgHt,1Story,8,2006
140000,10300,3,2,0,OldTown,2Story,7,1921
317000,9591,4,2,1,NridgHt,2Story,8,2004
226000,10665,3,2,0,CollgCr,1Story,7,2003
80000,4608,2,1,0,OldTown,1Story,4,1945
225000,15593,3,2,0,ClearCr,1.5Fin,7,1953
244000,13651,3,2,0,NAmes,1Story,7,1973
129500,7599,2,1,0,Mitchel,1Story,4,1982
185000,10141,3,2,1,Gilbert,2Story,7,1998
144900,10200,3,1,0,NAmes,1Story,5,1954
107400,5790,3,2,0,OldTown,2Story,3,1915
91000,1596,2,1,0,MeadowV,SLvl,4,1973
127000,8635,2,1,0,BrkSide,1.5Fin,5,1948
110000,10440,2,1,1,OldTown,2Story,5,1910
193500,13000,4,2,1,NAmes,2Story,6,1968
153500,4500,2,2,0,Mitchel,1Story,6,1998
245000,10206,3,2,0,Somerst,1Story,8,2007
126500,8892,3,1,1,NAmes,1Story,5,1960
260000,16059,4,2,1,NoRidge,2Story,8,1991
174000,11911,3,2,1,Gilbert,2Story,6,2005
164500,3951,2,2,1,Somerst,2Story,6,2009
98600,8500,2,1,0,NAmes,1Story,5,1961
163500,13360,2,1,0,Crawfor,1Story,5,1921
133900,7200,4,2,0,OldTown,2.5Unf,6,1910
204750,9337,3,2,1,CollgCr,2Story,6,1997
214000,10264,3,2,0,CollgCr,1Story,7,1999
94750,10921,3,1,0,Edwards,1Story,4,1965
83000,10625,2,1,0,Edwards,1Story,5,1920
178000,9206,3,2,1,SawyerW,2Story,6,1985
198900,10402,3,2,0,CollgCr,1Story,7,2009
250000,9375,3,2,1,Somerst,2Story,8,2003
100000,10800,2,1,0,OldTown,1Story,4,1885
115000,6000,2,1,0,OldTown,1Story,5,1948
190000,11751,3,2,0,NWAmes,1Story,6,1977
136900,9525,4,2,0,Edwards,1.5Fin,6,1954
383970,9965,4,2,1,CollgCr,2Story,7,2007
259500,7259,3,2,1,Crawfor,2Story,6,1945
176000,3230,2,2,1,Somerst,2Story,6,1999
155000,8536,2,1,1,Edwards,1Story,5,2006
320000,12376,5,3,0,SawyerW,2Story,7,1990
163990,8461,3,2,1,CollgCr,2Story,6,2005
100000,6060,3,1,0,IDOTRR,1.5Fin,4,1939
136000,9464,3,1,0,NAmes,1Story,6,1958
153900,7892,2,2,0,SawyerW,1Story,6,1993
181000,17043,3,2,0,NWAmes,1Story,6,1979
155000,7590,3,1,1,NAmes,2Story,6,1966
150000,8973,3,1,1,NAmes,1Story,5,1958
226000,14200,4,2,1,NAmes,2Story,7,1966
150750,7388,3,1,0,NAmes,1Story,5,1959
180000,10335,3,2,1,Sawyer,1Story,5,1968
174000,10400,3,2,0,NWAmes,1Story,7,1970
171000,11070,5,3,0,Mitchel,1Story,7,1988
230000,9066,3,2,1,CollgCr,2Story,8,1999
231500,15426,3,2,1,CollgCr,2Story,6,1997
260000,11645,3,2,0,CollgCr,1Story,7,2005
166000,8520,4,2,0,NAmes,1.5Fin,5,1952
204000,10335,3,2,0,CollgCr,1Story,7,1999
125000,9100,6,2,0,Sawyer,1Story,5,1963
130000,2522,3,2,0,Edwards,2Story,6,2004
105000,6120,2,1,0,BrkSide,1Story,5,1931
122000,10356,3,1,1,CollgCr,1Story,5,1975
372402,13891,2,2,0,NridgHt,1Story,8,2007
125000,11340,4,1,0,OldTown,1Story,6,1923
269500,12003,4,2,1,Timber,2Story,8,2009
254900,12552,3,2,1,Somerst,2Story,7,2004
320000,19378,4,2,1,Gilbert,2Story,7,2005
412500,13688,3,2,1,NridgHt,2Story,9,2003
220000,12182,3,2,0,NridgHt,1Story,7,2005
152000,5400,3,2,0,OldTown,1Story,6,1926
325624,10562,3,1,1,NridgHt,2Story,8,2007
183500,8244,3,2,1,Gilbert,2Story,7,2004
215000,31770,3,1,0,NAmes,1Story,6,1960
239000,5306,2,2,0,StoneBr,2Story,7,1987
163000,10197,3,1,1,NAmes,1Story,6,1961
184000,12416,3,2,0,Timber,1Story,6,1986
243000,12615,4,2,0,Edwards,1Story,6,1950
211000,10029,4,2,1,ClearCr,2Story,6,1988
501837,17423,1,2,0,StoneBr,1Story,9,2008
100000,8520,2,1,0,OldTown,1Story,5,1923
200100,7588,4,1,1,Crawfor,2Story,7,1920
200000,11426,3,2,1,OldTown,1.5Fin,7,2003
127000,7438,3,1,0,BrkSide,1.5Fin,5,1908
475000,22950,4,2,1,OldTown,2.5Fin,10,1892
135000,10410,3,2,1,OldTown,1.5Fin,5,1916
153337,7018,2,0,2,SawyerW,SFoyer,5,1979
286000,4923,0,1,1,StoneBr,1Story,8,2001
315000,10570,3,2,1,Crawfor,2Story,8,1932
192000,9017,3,2,0,CollgCr,1Story,7,1999
130000,2522,3,2,0,Edwards,2Story,7,2004
127000,7180,3,1,0,CollgCr,1Story,5,1972
148500,2280,3,2,1,NPkVill,2Story,6,1976
311872,9416,3,2,0,Somerst,1Story,7,2007
235000,25419,4,2,0,NAmes,2Story,8,1918
274900,9591,3,2,0,NridgHt,1Story,8,2004
140000,8546,2,2,0,Edwards,1Story,4,2003
171500,10125,3,2,0,Mitchel,1Story,6,1977
112000,7000,2,2,0,OldTown,1.5Fin,6,1924
110000,3500,2,1,1,OldTown,1.5Fin,5,1947
180500,11851,3,2,0,Gilbert,1Story,7,1990
143900,13673,3,1,1,Sawyer,1Story,5,1962
145000,8250,3,1,0,NAmes,1Story,6,1964
186000,10420,3,2,0,Edwards,1Story,6,2009
252678,8640,3,2,1,Somerst,2Story,7,2009
156000,13568,3,1,0,CollgCr,1Story,5,1995
134450,10011,2,1,0,NAmes,1Story,5,1957
210000,8450,3,2,0,CollgCr,1Story,7,2004
107000,9906,3,1,0,OldTown,2Story,4,1925
167240,3010,2,2,0,Blmngtn,1Story,7,2005
